[00:00:00 - 00:00:05]   기정아 물 하나 줄까?
[00:03:54 - 00:03:56]   아 이 집에서 오래 산 느낌
[00:03:58 - 00:03:59]   기정이
[00:03:59 - 00:04:00]   그래서 말인데 기정아
[00:04:01 - 00:04:04]   너 만약에 이 집이 우리께 된다면
[00:04:04 - 00:04:06]   여기서 우리가 산다 치면
[00:04:07 - 00:04:09]   또 어딜 네 방을 쓰고 싶냐
[00:04:09 - 00:04:12]   이 남궁현자 선생님의 이 걸작 하우스에서
[00:04:12 - 00:04:14]   어디가 네 말 쏙 드냐 이 말이지
[00:04:14 - 00:04:16]   아 몰라 씨발
[00:04:16 - 00:04:18]   일단 살게 해줘봐
[00:04:18 - 00:04:20]   내가 살면 고민을 해볼게
[00:04:20 - 00:04:22]   아니 뭐 지금 살고 있잖아
[00:04:23 - 00:04:25]   이렇게 거실 복판에서
[00:04:25 - 00:04:27]   술도 잔뜩 마시면서
[00:04:27 - 00:04:28]   그렇죠
[00:04:28 - 00:04:29]   뭐 이게 사는 거지 뭐
[00:04:29 - 00:04:30]   사는 게 별건가
[00:04:30 - 00:04:32]   여기가 지금 우리 집이야
[00:04:32 - 00:04:33]   응?
[00:04:33 - 00:04:34]   아늑하잖아
[00:04:35 - 00:04:36]   아늑해?
[00:04:36 - 00:04:37]   아늑하셔?
[00:04:38 - 00:04:39]   그래
[00:04:39 - 00:04:40]   너 이러다가 갑자기
[00:04:40 - 00:04:41]   박사장이 딱
[00:04:41 - 00:04:42]   집에 온다 쳐봐
[00:04:43 - 00:04:45]   김기철 2인간?
[00:04:45 - 00:04:47]   바퀴벌레처럼 샤샤샥
[00:04:47 - 00:04:48]   숨겠지?
[00:04:49 - 00:04:50]   얘들아
[00:04:50 - 00:04:52]   왜 니네 우리집 그거 있잖아
[00:04:52 - 00:04:53]   형광등 방 중에 그냥
[00:04:53 - 00:04:55]   딱 이렇게 바퀴벌레들이
[00:04:55 - 00:04:57]   이꺽 숨는 거
[00:04:57 - 00:04:58]   뭔지 알지?
[00:04:58 - 00:04:59]   뭔지 알지?
[00:05:00 - 00:05:02]   씨발 이게 듣자 듣자 하니까
[00:05:04 - 00:05:05]   바퀴벌레?
[00:05:05 - 00:05:06]   응
[00:05:10 - 00:05:11]   아 왜 그래요
[00:05:12 - 00:05:13]   아 진짜
[00:05:13 - 00:05:14]   아버지
[00:05:14 - 00:05:15]   죽어요
[00:05:23 - 00:05:24]   아 뭐야
[00:05:25 - 00:05:26]   속았지
[00:05:26 - 00:05:27]   속았지
[00:05:27 - 00:05:28]   아버지도 참
[00:05:28 - 00:05:30]   기우야 너도 속았지
[00:05:30 - 00:05:32]   리얼하지 않냐 안 그래?
[00:05:32 - 00:05:34]   리얼이었으면 넌 죽었지
[00:05:34 - 00:05:35]   이 씨발아
[00:05:36 - 00:05:37]   뭐야
[00:05:38 - 00:05:39]   아이씨 강아지
[00:05:44 - 00:05:45]   여보세요
[00:05:46 - 00:05:47]   저기 아줌마
[00:05:47 - 00:05:49]   짜파구리 할 줄 아시죠?
[00:05:50 - 00:05:51]   짜파구리?
[00:05:51 - 00:05:52]   짜파구리라고
[00:05:52 - 00:05:54]   다송이가 제일 좋아하는 건데
[00:05:55 - 00:05:56]   지금
[00:05:56 - 00:05:57]   바로 물 올리시면
[00:05:57 - 00:05:58]   시간 딱 맞겠네
[00:05:59 - 00:06:00]   냉장고에 한우 채끝살도 있으니까
[00:06:00 - 00:06:01]   그것도 좀 넣으시고
[00:06:02 - 00:06:03]   그러면 저 캠핑장은?
[00:06:03 - 00:06:05]   캠핑장 계곡물이 불어가지고
[00:06:06 - 00:06:07]   다들 텐트 철수하고
[00:06:07 - 00:06:08]   아수라장인데
[00:06:09 - 00:06:10]   다송이는 집에 안 간다고
[00:06:10 - 00:06:11]   울고 벌고 버티고
[00:06:11 - 00:06:12]   그럼 지금
[00:06:12 - 00:06:13]   거진 다 오신 건가요?
[00:06:14 - 00:06:15]   8분 후 도착으로 나오네
[00:06:15 - 00:06:16]   네비에는
[00:06:17 - 00:06:18]   8분 후 도착
