[00:00:00 - 00:00:02]   장비를 꺼내, 아줌마야, 빨리!
[00:03:55 - 00:03:58]   야, 경찰을 때리면 어떡하냐. 그것도 등기로.
[00:03:59 - 00:04:00]   예?
[00:04:00 - 00:04:02]   그 증금을 일단 내려놓고. 내려놔, 빨리.
[00:04:04 - 00:04:05]   정당방위다, 이씨.
[00:04:06 - 00:04:08]   이 썅놈의 새끼가.
[00:04:09 - 00:04:12]   말로 해, 말로. 말로. 말로, 말로, 말로.
[00:04:12 - 00:04:15]   빨리 놔. 똑바로 앉아. 인마, 똑바로 앉아, 인마.
[00:04:15 - 00:04:16]   예.
[00:04:20 - 00:04:21]   힘들지?
[00:04:21 - 00:04:23]   형님, 타고 가.
[00:04:24 - 00:04:25]   물 줘.
[00:04:26 - 00:04:27]   감사합니다.
[00:04:29 - 00:04:31]   나 서울 가면 할 일 많거든.
[00:04:31 - 00:04:33]   그냥 타고 가자.
[00:04:37 - 00:04:39]   그래, 갑시다.
[00:04:39 - 00:04:40]   그래.
[00:04:40 - 00:04:43]   네 친구들하고 같이 타고 가면 얼마나 좋아.
[00:04:45 - 00:04:46]   가자.
[00:04:46 - 00:04:50]   신진물산 부사장으로 승진하실 조태오 기획 조정실장.
[00:04:50 - 00:04:52]   조태오. 조태오.
[00:04:52 - 00:04:54]   혹시 제가 아는 신진을...
[00:04:54 - 00:04:56]   아, 왜 그러세요.
[00:04:56 - 00:04:58]   모는 자리인데 그냥 잠 편하게 받으세요.
[00:04:58 - 00:05:00]   근데 윤 사장하고는 어떻게 아세요?
[00:05:00 - 00:05:05]   조 실장 미국 유학생활할 때 다혜랑 촬영 갔다 만나가지고 신세 많이 졌지.
[00:05:05 - 00:05:07]   아이고, 밥하고 산 거 가지고.
[00:05:08 - 00:05:10]   아시겠지만 나이 이제 훨씬 더 어려워.
[00:05:11 - 00:05:15]   야, 재벌하고 술을 다 마셔보고.
[00:05:15 - 00:05:18]   야, 근데 재벌은 좀 다르게 놀 줄 알았는데.
[00:05:38 - 00:05:39]   그만해.
[00:05:41 - 00:05:42]   놔.
[00:05:46 - 00:05:48]   재벌은 이렇게 놀아야 되나?
[00:05:59 - 00:06:01]   죄송합니다.
[00:06:01 - 00:06:03]   재벌이 이렇게 밖에 못 놉니다.
[00:06:03 - 00:06:05]   용서해 주십시오.
[00:06:11 - 00:06:13]   아, 우리 형사님 안 속이시네.
[00:06:13 - 00:06:15]   베테랑이시네, 베테랑.
[00:06:15 - 00:06:17]   아, 멋있다.
[00:06:17 - 00:06:18]   투피!
[00:06:21 - 00:06:23]   아우, 아우, 놀랐지.
[00:06:27 - 00:06:31]   우리 할아버지가 사람은 간똥이 보고 사귀라 그랬거든요.
[00:06:32 - 00:06:33]   아, 진짜요?
[00:06:33 - 00:06:34]   네.
[00:06:34 - 00:06:38]   우리 할아버지가 사람은 간똥이 보고 사귀라고 그랬거든요.
[00:06:39 - 00:06:42]   김 사장, 조태호 씨 재미있게 사시네.
[00:06:45 - 00:06:47]   태호 씨, 근데...
[00:06:49 - 00:06:51]   재는 짓고 살지 맙시다.
[00:06:53 - 00:06:54]   짠할까요?
[00:07:01 - 00:07:02]   안 나와서 그런다고.
[00:07:04 - 00:07:06]   다 어렵습니다.
[00:07:06 - 00:07:09]   나는 어릴 때부터 매년 올해 감기가 제일 지독하고
[00:07:09 - 00:07:12]   올해 감기가 제일 안 좋다는 말을 한 번도 안 빼놓고 들었어요.
[00:07:13 - 00:07:14]   그래서 내가 죽었나요?
[00:07:15 - 00:07:17]   안 죽었잖아.
[00:07:20 - 00:07:23]   야, 너 그거 갖고 싶구나.
[00:07:26 - 00:07:27]   뭐?
[00:07:28 - 00:07:30]   그래서, 내 인기 얼마라고요?
[00:07:31 - 00:07:33]   아, 네. 저 순서대로 말씀드리면...
[00:07:33 - 00:07:35]   아, 치즈. 치즈.
[00:07:36 - 00:07:38]   총액만 불러요, 총액만.
[00:07:39 - 00:07:41]   고맙습니다 해야지.
[00:07:41 - 00:07:42]   고맙습니다.
[00:07:48 - 00:07:50]   좀 되는데요. 420.
[00:07:50 - 00:07:52]   4... 420억?
[00:07:53 - 00:07:54]   아니요.
[00:07:55 - 00:07:56]   420만?
[00:08:02 - 00:08:03]   기사님.
[00:08:05 - 00:08:07]   맷돌 손잡이 알아요?
[00:08:08 - 00:08:10]   맷돌 손잡이를 어의라 그래요. 어의.
[00:08:11 - 00:08:15]   맷돌에 뭘 갈려고 집어넣고 맷돌을 돌리려고 하는데
[00:08:15 - 00:08:17]   손잡이가 빠졌네.
[00:08:18 - 00:08:20]   이런 상황을 어이가 없다 그래요.
[00:08:20 - 00:08:21]   황당하잖아.
[00:08:21 - 00:08:24]   아무것도 아닌 손잡이 때문에 해야 될 일을 못하니까.
[00:08:26 - 00:08:28]   지금 내 기분이 그래.
[00:08:30 - 00:08:32]   어이가 없네.
